Name,id_aluno,Status,Curso
Rosali,1540040,Interrompido,THEOLOGY AND RELIGIOUS VOCATIONS
Jaxon,1553087,Cursando,SOCIOLOGY
Lennox,1553286,Interrompido,MISCELLANEOUS ENGINEERING
Nameer,1562385,Concluído,AEROSPACE ENGINEERING
Logynn,1545430,Interrompido,MARKETING AND MARKETING RESEARCH
Eriella,1551382,Cursando,INTERNATIONAL BUSINESS
Jettie,1549656,Cursando,HEALTH AND MEDICAL PREPARATORY PROGRAMS
Yian,1552932,Concluído,COMPUTER ENGINEERING
Kallie,1536279,Concluído,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS
Zinat,1550632,Cursando,ANIMAL SCIENCES
Xannon,1566916,Cursando,ANIMAL SCIENCES
Mouhamed,1555860,Interrompido,CLINICAL PSYCHOLOGY
Katty,1542277,Interrompido,GENETICS
Berkleigh,1538086,Concluído,PHYSICAL AND HEALTH EDUCATION TEACHING
Sevynn,1538953,Interrompido,ACTUARIAL SCIENCE
Nykeem,1566454,Concluído,ENGINEERING TECHNOLOGIES
Mathieu,1555858,Concluído,EARLY CHILDHOOD EDUCATION
Maahi,1564562,Cursando,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES
Kristie,1546143,Concluído,PHYSICAL SCIENCES
Delany,1538732,Cursando,BIOLOGY
Aarion,1561136,Interrompido,MULTI-DISCIPLINARY OR GENERAL SCIENCE
Cavan,1556446,Interrompido,CONSTRUCTION SERVICES
Jakylen,1564281,Interrompido,ART AND MUSIC EDUCATION
Quinnlyn,1547342,Cursando,AEROSPACE ENGINEERING
Elsbeth,1546811,Concluído,MISCELLANEOUS EDUCATION
Alyiah,1542717,Cursando,POLITICAL SCIENCE AND GOVERNMENT
Pranika,1543795,Cursando,NURSING
Foster,1554033,Concluído,INDUSTRIAL AND MANUFACTURING ENGINEERING
Harlin,1557688,Cursando,MICROBIOLOGY
Christen,1545132,Cursando,HUMANITIES
Nada,1540514,Cursando,GENETICS
Daphney,1544540,Concluído,ELECTRICAL ENGINEERING
Chaseton,1562869,Concluído,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES
Aubre,1550961,Cursando,FILM VIDEO AND PHOTOGRAPHIC ARTS
Nayani,1546293,Concluído,ECOLOGY
Valentin,1553853,Interrompido,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES
Blimi,1544499,Interrompido,FOOD SCIENCE
Lanita,1552006,Cursando,MARKETING AND MARKETING RESEARCH
Emre,1556681,Concluído,PHILOSOPHY AND RELIGIOUS STUDIES
